Rank,Ticker,Base_Score,Momentum_Score,Combined_Score,Financial,Clinical,Catalyst
1,FOLD,75.5,100.0,87.7,58.5,92.5,50.0
2,KRYS,71.5,95.5,83.5,64.7,85.9,50.0
3,INDV,77.9,88.3,83.1,77.8,96.5,50.0
4,ERAS,60.8,100.0,80.4,13.2,67.9,50.0
5,GLUE,55.7,96.8,76.2,81.1,59.4,50.0
6,IRWD,40.1,100.0,70.0,93.9,40.9,50.0
7,ARWR,40.1,97.2,68.6,62.6,40.9,50.0
8,BIOA,35.1,100.0,67.6,46.5,83.8,50.0
9,GH,35.5,98.4,66.9,32.1,84.9,50.0
10,TERN,34.7,95.9,65.3,54.7,24.5,50.0
11,EWTX,40.1,89.9,65.0,13.1,40.9,50.0
12,AMRX,40.1,87.7,63.9,56.6,40.9,50.0
13,IMMP,38.1,89.1,63.6,13.2,30.2,50.0
14,TBPH,40.1,87.1,63.6,91.9,40.9,50.0
15,MBX,38.3,88.2,63.2,39.6,94.3,50.0
16,VTRS,40.1,84.7,62.4,45.5,40.9,50.0
17,MAZE,31.2,92.8,62.0,35.9,70.8,50.0
18,CTKB,40.1,82.2,61.2,82.8,40.9,50.0
19,IMVT,34.9,81.1,58.0,30.3,82.8,50.0
